example_id,model_name,model_short,model_type,layer,method,repr,pooling,D,tau,baseline_tau,abtt_tau,query_index,candidate_index,query_file_id,candidate_file_id,query_path,candidate_path,query_folder_id,candidate_folder_id,candidate_label,candidate_role,gold_similar,baseline_score,abtt_score,baseline_pred,abtt_pred,bucket,baseline_disagrees,baseline_margin,abtt_margin,baseline_margin_abs,abtt_margin_abs,bucket_slot
11,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,358,588,727,1189,/u/irowerojas/localLatin/canon/CNIC.325.19/Hat42.154v.2.txt,/u/irowerojas/localLatin/canon/Can.apost.45/C1525.7v.2.txt,CNIC.325.19,Can.apost.45,Can.apost.45,pair_example,0,0.9664115,-0.6892265,1,0,correct_not_similar,1,0.036763230160852145,-1.2520405784923228,0.036763230160852145,1.2520405784923228,1
12,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,11,612,24,1243,/u/irowerojas/localLatin/canon/CAGD.506.38/D1723.563.9.txt,/u/irowerojas/localLatin/canon/Can.apost.9/C1525.4v.7.txt,CAGD.506.38,Can.apost.9,Can.apost.9,pair_example,0,0.983238,-0.6782055,1,0,correct_not_similar,1,0.05358974059023447,-1.2410195604640635,0.05358974059023447,1.2410195604640635,2
13,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,144,351,311,712,/u/irowerojas/localLatin/canon/CARL.314.19/BAV1341.45v.9.txt,/u/irowerojas/localLatin/canon/CNIC.325.16/C1525.13r.2.txt,CARL.314.19,CNIC.325.16,CNIC.325.16,pair_example,0,0.9622419,-0.66589296,1,0,correct_not_similar,1,0.03259364684023447,-1.228707028992811,0.03259364684023447,1.228707028992811,3
14,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,344,581,696,1174,/u/irowerojas/localLatin/canon/CNIC.325.12/Hat42.153r.2.txt,/u/irowerojas/localLatin/canon/Can.apost.42/C1525.7r.4.txt,CNIC.325.12,Can.apost.42,Can.apost.42,pair_example,0,0.98085535,-0.6497339,1,0,correct_not_similar,1,0.051207104519983004,-1.2125479713756235,0.051207104519983004,1.2125479713756235,4
15,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,61,557,121,1116,/u/irowerojas/localLatin/canon/CANC.314.20/D1723.530.5.txt,/u/irowerojas/localLatin/canon/Can.apost.32/C1525.6r.7.txt,CANC.314.20,Can.apost.32,Can.apost.32,pair_example,0,0.9462662,-0.6465364,1,0,correct_not_similar,1,0.01661793311037607,-1.2093504802066477,0.01661793311037607,1.2093504802066477,5
16,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,75,107,151,225,/u/irowerojas/localLatin/canon/CANC.314.3/BAV1341.11r.11.txt,/u/irowerojas/localLatin/canon/CANT.328.18/BAV1341.17v.8.txt,CANC.314.3,CANT.328.18,CANT.328.18,pair_example,0,0.9939679,-0.35025373,1,0,correct_not_similar,1,0.019093518880144544,-0.8125652888012891,0.019093518880144544,0.8125652888012891,1
17,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,91,409,184,828,/u/irowerojas/localLatin/canon/CANT.328.1/BAV1341.16v.26.txt,/u/irowerojas/localLatin/canon/CORL.511.16/D1723.560.4.txt,CANT.328.1,CORL.511.16,CORL.511.16,pair_example,0,0.9857481,-0.3396973,1,0,correct_not_similar,1,0.0108737403423943,-0.8020088591767316,0.0108737403423943,0.8020088591767316,2
18,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,62,449,124,896,/u/irowerojas/localLatin/canon/CANC.314.21/BAV1341.12r.8.txt,/u/irowerojas/localLatin/canon/CRIZ.439.2/BAV1341.48v.2.txt,CANC.314.21,CRIZ.439.2,CRIZ.439.2,pair_example,0,0.9882266,-0.3367783,1,0,correct_not_similar,1,0.013352220681444593,-0.7990898707104688,0.013352220681444593,0.7990898707104688,3
19,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,369,496,751,969,/u/irowerojas/localLatin/canon/CNIC.325.4/D1723.557.9.txt,/u/irowerojas/localLatin/canon/CVAI.442.4/BAV1341.50v.4.txt,CNIC.325.4,CVAI.442.4,CVAI.442.4,pair_example,0,0.9880971,-0.33567813,1,0,correct_not_similar,1,0.01322269978834767,-0.7979896881772046,0.01322269978834767,0.7979896881772046,4
20,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,111,305,235,614,/u/irowerojas/localLatin/canon/CANT.328.2/C1525.27v.1.txt,/u/irowerojas/localLatin/canon/CNEO.315.11/BAV1341.13r.4.txt,CANT.328.2,CNEO.315.11,CNEO.315.11,pair_example,0,0.9876171,-0.33062008,1,0,correct_not_similar,1,0.012742703583971449,-0.792931638021565,0.012742703583971449,0.792931638021565,5
21,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,302,303,608,610,/u/irowerojas/localLatin/canon/CNEO.315.10/BAV1341.13r.3.txt,/u/irowerojas/localLatin/canon/CNEO.315.10/C1525.23r.3.txt,CNEO.315.10,CNEO.315.10,CNEO.315.10,pair_example,1,0.9751767,-0.032101452,1,0,wrong_similar,1,0.04552845080294199,-0.5949155227023752,0.04552845080294199,0.5949155227023752,1
22,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,60,61,119,121,/u/irowerojas/localLatin/canon/CANC.314.20/C1525.21r.3.txt,/u/irowerojas/localLatin/canon/CANC.314.20/D1723.530.5.txt,CANC.314.20,CANC.314.20,CANC.314.20,pair_example,1,0.9682001,0.009597305,1,0,wrong_similar,1,0.03855184634127207,-0.5532167651433142,0.03855184634127207,0.5532167651433142,2
23,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,375,376,762,764,/u/irowerojas/localLatin/canon/CNIC.325.7/BN2123.82r.1.txt,/u/irowerojas/localLatin/canon/CNIC.325.7/Hat42.152r.2.txt,CNIC.325.7,CNIC.325.7,CNIC.325.7,pair_example,1,0.93583626,0.07212324,1,0,wrong_similar,1,0.006188014344354342,-0.4906908333975466,0.006188014344354342,0.4906908333975466,3
24,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,120,121,256,258,/u/irowerojas/localLatin/canon/CANT.328.24/BAV1341.18r.5.txt,/u/irowerojas/localLatin/canon/CANT.328.24/C1525.30r.4.txt,CANT.328.24,CANT.328.24,CANT.328.24,pair_example,1,0.9681703,0.12160533,1,0,wrong_similar,1,0.03852204401888437,-0.4412087411362322,0.03852204401888437,0.4412087411362322,4
25,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,128,129,277,281,/u/irowerojas/localLatin/canon/CANT.328.6/BAV1341.17r.4.txt,/u/irowerojas/localLatin/canon/CANT.328.6/Hat42.169r.2.txt,CANT.328.6,CANT.328.6,CANT.328.6,pair_example,1,0.9473686,0.17490359,1,0,wrong_similar,1,0.017720380620141696,-0.3879104838449152,0.017720380620141696,0.3879104838449152,5
26,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,77,78,155,156,/u/irowerojas/localLatin/canon/CANC.314.4/BAV1341.11r.12.txt,/u/irowerojas/localLatin/canon/CANC.314.4/BAV1341.11r.13.txt,CANC.314.4,CANC.314.4,CANC.314.4,pair_example,1,0.9964014,0.21413425,1,0,wrong_similar,1,0.021527057317034193,-0.2481773116780286,0.021527057317034193,0.2481773116780286,1
27,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,45,46,89,93,/u/irowerojas/localLatin/canon/CANC.314.16/BAV1341.12r.3.txt,/u/irowerojas/localLatin/canon/CANC.314.16/D1723.525.3.txt,CANC.314.16,CANC.314.16,CANC.314.16,pair_example,1,0.9972309,0.33096108,1,0,wrong_similar,1,0.02235651555372853,-0.13135047938356448,0.02235651555372853,0.13135047938356448,2
28,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,299,300,601,604,/u/irowerojas/localLatin/canon/CNEO.315.1/BAV1341.12v.16.txt,/u/irowerojas/localLatin/canon/CNEO.315.1/C1525.22v.1.txt,CNEO.315.1,CNEO.315.1,CNEO.315.1,pair_example,1,0.99573857,0.38875163,1,0,wrong_similar,1,0.020864194062487074,-0.07355993177423525,0.020864194062487074,0.07355993177423525,3
29,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,71,73,144,146,/u/irowerojas/localLatin/canon/CANC.314.24/BAV1341.12v.1.txt,/u/irowerojas/localLatin/canon/CANC.314.24/C1525.21v.1.txt,CANC.314.24,CANC.314.24,CANC.314.24,pair_example,1,0.99812144,0.38916948,1,0,wrong_similar,1,0.02324706855131764,-0.07314207341203738,0.02324706855131764,0.07314207341203738,4
30,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,128,129,277,281,/u/irowerojas/localLatin/canon/CANT.328.6/BAV1341.17r.4.txt,/u/irowerojas/localLatin/canon/CANT.328.6/Hat42.169r.2.txt,CANT.328.6,CANT.328.6,CANT.328.6,pair_example,1,0.98072934,0.40373534,1,0,wrong_similar,1,0.005854969647661634,-0.05857621814737368,0.005854969647661634,0.05857621814737368,5
31,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,486,487,953,954,/u/irowerojas/localLatin/canon/CTOU.567.18 (17)/WlfH1062.5v.2.txt,/u/irowerojas/localLatin/canon/CTOU.567.19 (18)/WlfH1062.6r.1.txt,CTOU.567.18 (17),CTOU.567.19 (18),CTOU.567.19 (18),pair_example,0,0.91962564,0.7776499,0,1,wrong_not_similar,1,-0.01002260129056387,0.21483580910380762,0.01002260129056387,0.21483580910380762,1
32,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,588,607,1189,1231,/u/irowerojas/localLatin/canon/Can.apost.45/C1525.7v.2.txt,/u/irowerojas/localLatin/canon/Can.apost.7/BAV1341.7r.1.txt,Can.apost.45,Can.apost.7,Can.apost.7,pair_example,0,-0.48739207,0.74187624,0,1,wrong_not_similar,1,-1.4170403091152708,0.17906217419322412,1.4170403091152708,0.17906217419322412,2
33,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,39,266,76,542,/u/irowerojas/localLatin/canon/CANC.314.13/C1525.20r.5.txt,/u/irowerojas/localLatin/canon/CLAO.300.10/Brn425.19v.2.txt,CANC.314.13,CLAO.300.10,CLAO.300.10,pair_example,0,-0.49138296,0.7396673,0,1,wrong_not_similar,1,-1.4210311977108518,0.17685322605784815,1.4210311977108518,0.17685322605784815,3
34,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,482,484,945,947,/u/irowerojas/localLatin/canon/CTOL.655.1/WlfH1062.12v.1.txt,/u/irowerojas/localLatin/canon/CTOL.655.2/WlfH1062.13r.1.txt,CTOL.655.1,CTOL.655.2,CTOL.655.2,pair_example,0,0.91702473,0.73449653,0,1,wrong_not_similar,1,-0.012623509569982816,0.17168246351893823,0.012623509569982816,0.17168246351893823,4
35,bowphs/LaTa,LaTa,t5,4,abtt_optimal,hidden,mean,2,0.5628140703517588,0.9296482412060302,0.5628140703517588,143,557,310,1116,/u/irowerojas/localLatin/canon/CARL.314.18/BAV1341.45v.8.txt,/u/irowerojas/localLatin/canon/Can.apost.32/C1525.6r.7.txt,CARL.314.18,Can.apost.32,Can.apost.32,pair_example,0,-0.4409768,0.71686816,0,1,wrong_not_similar,1,-1.3706250397404234,0.15405409180339258,1.3706250397404234,0.15405409180339258,5
36,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,350,355,710,720,/u/irowerojas/localLatin/canon/CNIC.325.16/BN2123.85v.7.txt,/u/irowerojas/localLatin/canon/CNIC.325.18/BN2123.86r.2.txt,CNIC.325.16,CNIC.325.18,CNIC.325.18,pair_example,0,0.96793145,0.8675636,0,1,wrong_not_similar,1,-0.006942922445996813,0.405252047519588,0.006942922445996813,0.405252047519588,1
37,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,353,375,716,762,/u/irowerojas/localLatin/canon/CNIC.325.17/BN2123.86r.1.txt,/u/irowerojas/localLatin/canon/CNIC.325.7/BN2123.82r.1.txt,CNIC.325.17,CNIC.325.7,CNIC.325.7,pair_example,0,0.9488415,0.8125671,0,1,wrong_not_similar,1,-0.02603285965607982,0.35025555704107236,0.02603285965607982,0.35025555704107236,2
38,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,336,364,679,741,/u/irowerojas/localLatin/canon/CNIC.325.1/BN2123.76v.6.txt,/u/irowerojas/localLatin/canon/CNIC.325.22/BN2123.102r.3.txt,CNIC.325.1,CNIC.325.22,CNIC.325.22,pair_example,0,0.9714297,0.8086126,0,1,wrong_not_similar,1,-0.003444666239484362,0.3463010272788043,0.003444666239484362,0.3463010272788043,3
39,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,339,365,686,742,/u/irowerojas/localLatin/canon/CNIC.325.11/BN2123.86v.10.txt,/u/irowerojas/localLatin/canon/CNIC.325.3/BN2123.96v.8.txt,CNIC.325.11,CNIC.325.3,CNIC.325.3,pair_example,0,0.95370114,0.7888962,0,1,wrong_not_similar,1,-0.021173233362897448,0.32658464525213193,0.021173233362897448,0.32658464525213193,4
40,bowphs/PhilTa,PhilTa,t5,6,abtt_optimal,hidden,mean,10,0.4623115577889447,0.9748743718592964,0.4623115577889447,595,598,1204,1213,/u/irowerojas/localLatin/canon/Can.apost.48/BN2123.89r.5.txt,/u/irowerojas/localLatin/canon/Can.apost.49/KoeD213.10r.2.txt,Can.apost.48,Can.apost.49,Can.apost.49,pair_example,0,0.9349083,0.7488628,0,1,wrong_not_similar,1,-0.03996610102341991,0.2865512451933856,0.03996610102341991,0.2865512451933856,5
