file_id,path,folder_id,folder_size,is_winnable,split,category
940,/u/irowerojas/localLatin/canon/CTOL.633.51/WlfH1062.11r.2.txt,CTOL.633.51,1,False,test,dissimilar
941,/u/irowerojas/localLatin/canon/CTOL.633.52/WlfH1062.11v.2.txt,CTOL.633.52,1,False,train,dissimilar
954,/u/irowerojas/localLatin/canon/CTOU.567.19 (18)/WlfH1062.6r.1.txt,CTOU.567.19 (18),1,False,test,dissimilar
986,/u/irowerojas/localLatin/canon/CVER.755.5/WlfH1062.7r.3.txt,CVER.755.5,1,False,train,dissimilar
987,/u/irowerojas/localLatin/canon/CZAR.380.6/WlfH1062.9r.2.txt,CZAR.380.6,1,False,test,dissimilar
990,/u/irowerojas/localLatin/canon/Can.apost.1/Hat42.144r.1.txt,Can.apost.1,5,True,test,similar
1043,/u/irowerojas/localLatin/canon/Can.apost.19/Vat5845.8r.4.txt,Can.apost.19,5,True,train,similar
1060,/u/irowerojas/localLatin/canon/Can.apost.22/BAV1341.7r.16.txt,Can.apost.22,5,True,test,similar
1074,/u/irowerojas/localLatin/canon/Can.apost.24/Vat5845.8v.1.txt,Can.apost.24,5,True,train,similar
1116,/u/irowerojas/localLatin/canon/Can.apost.32/C1525.6r.7.txt,Can.apost.32,5,True,test,similar
1137,/u/irowerojas/localLatin/canon/Can.apost.36/Hat42.147v.1.txt,Can.apost.36,5,True,train,similar
1145,/u/irowerojas/localLatin/canon/Can.apost.37/Vat5845.9r.6.txt,Can.apost.37,6,True,train,similar
1148,/u/irowerojas/localLatin/canon/Can.apost.38/Hat42.147v.3.txt,Can.apost.38,5,True,test,similar
1151,/u/irowerojas/localLatin/canon/Can.apost.39/BAV1341.7v.9.txt,Can.apost.39,5,True,train,similar
1185,/u/irowerojas/localLatin/canon/Can.apost.44/Hat42.148v.3.txt,Can.apost.44,5,True,test,similar
1268,/u/irowerojas/localLatin/canon/RPWO.758.2/BAVPal582.5r.3.txt,RPWO.758.2,1,False,test,dissimilar
1275,/u/irowerojas/localLatin/canon/RPWO.758.7/BAVPal582.5v.1.txt,RPWO.758.7,1,False,test,dissimilar
